send	data	#1,	winSize = 1
send	data	#318,	winSize = 2
recv	ack	#315,	sack	#318
send	data	#319,	winSize = 2
recv	ack	#315,	sack	#319
send	data	#320,	winSize = 2
resnd	data	#316,	winSize = 2
recv	ack	#315,	sack	#320
send	data	#321,	winSize = 2
recv	ack	#320,	sack	#316
send	data	#322,	winSize = 2
recv	ack	#321,	sack	#321
send	data	#323,	winSize = 3
send	data	#324,	winSize = 3
recv	ack	#322,	sack	#322
send	data	#325,	winSize = 3
recv	ack	#323,	sack	#323
send	data	#326,	winSize = 3
recv	ack	#323,	sack	#323
recv	ack	#323,	sack	#323
time	out,	threshold = 1,	winSize = 3
resnd	data	#324,	winSize = 1
recv	ack	#323,	sack	#323
time	out,	threshold = 1,	winSize = 1
resnd	data	#324,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#324,	winSize = 1
recv	ack	#324,	sack	#324
resnd	data	#325,	winSize = 2
resnd	data	#326,	winSize = 2
recv	ack	#325,	sack	#325
send	data	#327,	winSize = 2
recv	ack	#325,	sack	#325
recv	ack	#325,	sack	#325
time	out,	threshold = 1,	winSize = 2
resnd	data	#326,	winSize = 1
recv	ack	#326,	sack	#326
resnd	data	#327,	winSize = 2
send	data	#328,	winSize = 2
recv	ack	#327,	sack	#327
send	data	#329,	winSize = 2
recv	ack	#327,	sack	#327
recv	ack	#327,	sack	#329
send	data	#330,	winSize = 2
recv	ack	#327,	sack	#330
send	data	#331,	winSize = 2
resnd	data	#328,	winSize = 2
recv	ack	#327,	sack	#331
send	data	#332,	winSize = 2
recv	ack	#331,	sack	#328
send	data	#333,	winSize = 3
send	data	#334,	winSize = 3
recv	ack	#332,	sack	#332
send	data	#335,	winSize = 3
recv	ack	#333,	sack	#333
send	data	#336,	winSize = 3
recv	ack	#333,	sack	#333
recv	ack	#333,	sack	#335
send	data	#337,	winSize = 3
recv	ack	#333,	sack	#333
time	out,	threshold = 1,	winSize = 3
resnd	data	#334,	winSize = 1
recv	ack	#335,	sack	#334
resnd	data	#336,	winSize = 2
resnd	data	#337,	winSize = 2
recv	ack	#335,	sack	#335
recv	ack	#335,	sack	#337
send	data	#338,	winSize = 2
recv	ack	#335,	sack	#335
resnd	data	#336,	winSize = 2
recv	ack	#337,	sack	#336
send	data	#339,	winSize = 2
recv	ack	#337,	sack	#339
send	data	#340,	winSize = 2
recv	ack	#337,	sack	#340
send	data	#341,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#338,	winSize = 1
recv	ack	#340,	sack	#338
resnd	data	#341,	winSize = 2
send	data	#342,	winSize = 2
recv	ack	#341,	sack	#341
send	data	#343,	winSize = 2
recv	ack	#342,	sack	#342
send	data	#344,	winSize = 3
send	data	#345,	winSize = 3
recv	ack	#342,	sack	#344
send	data	#346,	winSize = 3
recv	ack	#342,	sack	#345
send	data	#347,	winSize = 3
recv	ack	#342,	sack	#346
send	data	#348,	winSize = 3
resnd	data	#343,	winSize = 3
recv	ack	#342,	sack	#347
send	data	#349,	winSize = 3
recv	ack	#342,	sack	#348
send	data	#350,	winSize = 3
recv	ack	#348,	sack	#343
send	data	#351,	winSize = 3
recv	ack	#348,	sack	#348
recv	ack	#348,	sack	#350
send	data	#352,	winSize = 3
recv	ack	#348,	sack	#352
send	data	#353,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#349,	winSize = 1
recv	ack	#350,	sack	#349
resnd	data	#351,	winSize = 2
resnd	data	#353,	winSize = 2
recv	ack	#350,	sack	#350
recv	ack	#350,	sack	#350
time	out,	threshold = 1,	winSize = 2
resnd	data	#351,	winSize = 1
recv	ack	#352,	sack	#351
resnd	data	#353,	winSize = 2
send	data	#354,	winSize = 2
recv	ack	#352,	sack	#352
recv	ack	#352,	sack	#354
send	data	#355,	winSize = 2
recv	ack	#352,	sack	#355
send	data	#356,	winSize = 2
resnd	data	#353,	winSize = 2
recv	ack	#352,	sack	#356
send	data	#357,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#353,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#353,	winSize = 1
recv	ack	#356,	sack	#353
resnd	data	#357,	winSize = 2
send	data	#358,	winSize = 2
recv	ack	#357,	sack	#357
send	data	#359,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#358,	winSize = 1
recv	ack	#358,	sack	#358
resnd	data	#359,	winSize = 2
send	data	#360,	winSize = 2
recv	ack	#359,	sack	#359
send	data	#361,	winSize = 2
recv	ack	#359,	sack	#359
recv	ack	#359,	sack	#361
send	data	#362,	winSize = 2
recv	ack	#359,	sack	#362
send	data	#363,	winSize = 2
resnd	data	#360,	winSize = 2
recv	ack	#359,	sack	#359
recv	ack	#362,	sack	#360
send	data	#364,	winSize = 3
send	data	#365,	winSize = 3
recv	ack	#362,	sack	#362
recv	ack	#362,	sack	#365
send	data	#366,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#363,	winSize = 1
recv	ack	#363,	sack	#363
resnd	data	#364,	winSize = 2
resnd	data	#366,	winSize = 2
recv	ack	#365,	sack	#364
send	data	#367,	winSize = 2
recv	ack	#366,	sack	#366
send	data	#368,	winSize = 3
send	data	#369,	winSize = 3
recv	ack	#367,	sack	#367
send	data	#370,	winSize = 3
recv	ack	#368,	sack	#368
send	data	#371,	winSize = 3
recv	ack	#369,	sack	#369
send	data	#372,	winSize = 4
send	data	#373,	winSize = 4
recv	ack	#370,	sack	#370
send	data	#374,	winSize = 4
recv	ack	#370,	sack	#370
recv	ack	#370,	sack	#372
send	data	#375,	winSize = 4
recv	ack	#370,	sack	#373
send	data	#376,	winSize = 4
resnd	data	#371,	winSize = 4
recv	ack	#370,	sack	#374
send	data	#377,	winSize = 4
recv	ack	#370,	sack	#375
send	data	#378,	winSize = 4
recv	ack	#370,	sack	#376
send	data	#379,	winSize = 4
recv	ack	#370,	sack	#370
recv	ack	#370,	sack	#377
send	data	#380,	winSize = 4
recv	ack	#370,	sack	#378
send	data	#381,	winSize = 4
recv	ack	#370,	sack	#379
send	data	#382,	winSize = 4
recv	ack	#370,	sack	#380
send	data	#383,	winSize = 4
recv	ack	#370,	sack	#381
send	data	#384,	winSize = 4
recv	ack	#370,	sack	#382
send	data	#385,	winSize = 4
recv	ack	#370,	sack	#384
send	data	#386,	winSize = 4
recv	ack	#370,	sack	#385
send	data	#387,	winSize = 4
recv	ack	#370,	sack	#386
send	data	#388,	winSize = 4
recv	ack	#370,	sack	#387
send	data	#389,	winSize = 4
recv	ack	#370,	sack	#388
send	data	#390,	winSize = 4
recv	ack	#370,	sack	#389
send	data	#391,	winSize = 4
recv	ack	#370,	sack	#390
send	data	#392,	winSize = 4
recv	ack	#370,	sack	#391
send	data	#393,	winSize = 4
recv	ack	#370,	sack	#393
send	data	#394,	winSize = 4
recv	ack	#370,	sack	#394
send	data	#395,	winSize = 4
recv	ack	#370,	sack	#395
send	data	#396,	winSize = 4
recv	ack	#370,	sack	#370
time	out,	threshold = 1,	winSize = 4
resnd	data	#371,	winSize = 1
recv	ack	#382,	sack	#371
resnd	data	#383,	winSize = 2
resnd	data	#392,	winSize = 2
recv	ack	#391,	sack	#383
resnd	data	#396,	winSize = 2
recv	ack	#391,	sack	#391
recv	ack	#391,	sack	#391
time	out,	threshold = 2,	winSize = 2
resnd	data	#392,	winSize = 1
recv	ack	#391,	sack	#391
time	out,	threshold = 1,	winSize = 1
resnd	data	#392,	winSize = 1
recv	ack	#395,	sack	#392
resnd	data	#396,	winSize = 2
send	data	#397,	winSize = 2
recv	ack	#395,	sack	#397
send	data	#398,	winSize = 2
recv	ack	#395,	sack	#398
send	data	#399,	winSize = 2
recv	ack	#395,	sack	#399
send	data	#400,	winSize = 2
resnd	data	#396,	winSize = 2
recv	ack	#395,	sack	#400
send	data	#401,	winSize = 2
recv	ack	#395,	sack	#401
send	data	#402,	winSize = 2
recv	ack	#395,	sack	#402
send	data	#403,	winSize = 2
recv	ack	#395,	sack	#403
send	data	#404,	winSize = 2
recv	ack	#395,	sack	#404
send	data	#405,	winSize = 2
recv	ack	#395,	sack	#405
send	data	#406,	winSize = 2
recv	ack	#395,	sack	#395
time	out,	threshold = 1,	winSize = 2
resnd	data	#396,	winSize = 1
recv	ack	#395,	sack	#395
time	out,	threshold = 1,	winSize = 1
resnd	data	#396,	winSize = 1
recv	ack	#405,	sack	#396
resnd	data	#406,	winSize = 2
send	data	#407,	winSize = 2
recv	ack	#406,	sack	#406
send	data	#408,	winSize = 2
recv	ack	#406,	sack	#406
time	out,	threshold = 1,	winSize = 2
resnd	data	#407,	winSize = 1
recv	ack	#407,	sack	#407
resnd	data	#408,	winSize = 2
send	data	#409,	winSize = 2
recv	ack	#408,	sack	#408
send	data	#410,	winSize = 2
recv	ack	#408,	sack	#410
send	data	#411,	winSize = 2
recv	ack	#408,	sack	#408
time	out,	threshold = 1,	winSize = 2
resnd	data	#409,	winSize = 1
recv	ack	#410,	sack	#409
resnd	data	#411,	winSize = 2
send	data	#412,	winSize = 2
recv	ack	#410,	sack	#410
recv	ack	#410,	sack	#412
send	data	#413,	winSize = 2
recv	ack	#410,	sack	#413
send	data	#414,	winSize = 2
resnd	data	#411,	winSize = 2
recv	ack	#413,	sack	#411
send	data	#415,	winSize = 2
recv	ack	#413,	sack	#413
time	out,	threshold = 1,	winSize = 2
resnd	data	#414,	winSize = 1
recv	ack	#414,	sack	#414
resnd	data	#415,	winSize = 2
send	data	#416,	winSize = 2
recv	ack	#414,	sack	#416
send	data	#417,	winSize = 2
recv	ack	#414,	sack	#414
time	out,	threshold = 1,	winSize = 2
resnd	data	#415,	winSize = 1
recv	ack	#416,	sack	#415
resnd	data	#417,	winSize = 2
send	data	#418,	winSize = 2
recv	ack	#417,	sack	#417
send	data	#419,	winSize = 2
recv	ack	#417,	sack	#417
recv	ack	#417,	sack	#419
send	data	#420,	winSize = 2
recv	ack	#417,	sack	#420
send	data	#421,	winSize = 2
resnd	data	#418,	winSize = 2
recv	ack	#417,	sack	#421
send	data	#422,	winSize = 2
recv	ack	#421,	sack	#418
send	data	#423,	winSize = 3
send	data	#424,	winSize = 3
recv	ack	#421,	sack	#421
recv	ack	#421,	sack	#421
time	out,	threshold = 1,	winSize = 3
resnd	data	#422,	winSize = 1
recv	ack	#422,	sack	#422
resnd	data	#423,	winSize = 2
resnd	data	#424,	winSize = 2
recv	ack	#423,	sack	#423
send	data	#425,	winSize = 2
recv	ack	#423,	sack	#425
send	data	#426,	winSize = 2
recv	ack	#423,	sack	#426
send	data	#427,	winSize = 2
recv	ack	#423,	sack	#423
resnd	data	#424,	winSize = 2
recv	ack	#423,	sack	#423
time	out,	threshold = 1,	winSize = 2
resnd	data	#424,	winSize = 1
recv	ack	#426,	sack	#424
resnd	data	#427,	winSize = 2
send	data	#428,	winSize = 2
recv	ack	#427,	sack	#427
send	data	#429,	winSize = 2
recv	ack	#428,	sack	#428
send	data	#430,	winSize = 3
send	data	#431,	winSize = 3
recv	ack	#429,	sack	#429
send	data	#432,	winSize = 3
recv	ack	#430,	sack	#430
send	data	#433,	winSize = 3
recv	ack	#431,	sack	#431
send	data	#434,	winSize = 4
send	data	#435,	winSize = 4
recv	ack	#432,	sack	#432
send	data	#436,	winSize = 4
recv	ack	#432,	sack	#434
send	data	#437,	winSize = 4
recv	ack	#432,	sack	#435
send	data	#438,	winSize = 4
recv	ack	#432,	sack	#436
send	data	#439,	winSize = 4
resnd	data	#433,	winSize = 4
recv	ack	#432,	sack	#432
recv	ack	#432,	sack	#438
send	data	#440,	winSize = 4
recv	ack	#432,	sack	#439
send	data	#441,	winSize = 4
recv	ack	#436,	sack	#433
send	data	#442,	winSize = 4
recv	ack	#436,	sack	#440
send	data	#443,	winSize = 4
recv	ack	#436,	sack	#441
send	data	#444,	winSize = 4
recv	ack	#436,	sack	#442
send	data	#445,	winSize = 4
recv	ack	#436,	sack	#444
send	data	#446,	winSize = 4
recv	ack	#436,	sack	#445
send	data	#447,	winSize = 4
recv	ack	#436,	sack	#446
send	data	#448,	winSize = 4
recv	ack	#436,	sack	#447
send	data	#449,	winSize = 4
recv	ack	#436,	sack	#448
send	data	#450,	winSize = 4
recv	ack	#436,	sack	#449
send	data	#451,	winSize = 4
recv	ack	#436,	sack	#450
send	data	#452,	winSize = 4
recv	ack	#436,	sack	#451
send	data	#453,	winSize = 4
recv	ack	#436,	sack	#452
send	data	#454,	winSize = 4
recv	ack	#436,	sack	#453
send	data	#455,	winSize = 4
recv	ack	#436,	sack	#436
recv	ack	#436,	sack	#455
send	data	#456,	winSize = 4
recv	ack	#436,	sack	#456
send	data	#457,	winSize = 4
recv	ack	#436,	sack	#457
send	data	#458,	winSize = 4
recv	ack	#436,	sack	#458
send	data	#459,	winSize = 4
recv	ack	#436,	sack	#459
send	data	#460,	winSize = 4
recv	ack	#436,	sack	#436
time	out,	threshold = 1,	winSize = 4
resnd	data	#437,	winSize = 1
recv	ack	#436,	sack	#436
time	out,	threshold = 2,	winSize = 1
resnd	data	#437,	winSize = 1
recv	ack	#442,	sack	#437
resnd	data	#443,	winSize = 2
resnd	data	#454,	winSize = 2
recv	ack	#442,	sack	#442
recv	ack	#442,	sack	#454
resnd	data	#460,	winSize = 2
recv	ack	#442,	sack	#460
send	data	#461,	winSize = 2
resnd	data	#443,	winSize = 2
recv	ack	#442,	sack	#461
send	data	#462,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#443,	winSize = 1
recv	ack	#461,	sack	#443
resnd	data	#462,	winSize = 2
send	data	#463,	winSize = 2
recv	ack	#461,	sack	#463
send	data	#464,	winSize = 2
recv	ack	#461,	sack	#464
send	data	#465,	winSize = 2
recv	ack	#461,	sack	#465
send	data	#466,	winSize = 2
resnd	data	#462,	winSize = 2
recv	ack	#465,	sack	#462
send	data	#467,	winSize = 2
recv	ack	#465,	sack	#465
time	out,	threshold = 1,	winSize = 2
resnd	data	#466,	winSize = 1
recv	ack	#466,	sack	#466
resnd	data	#467,	winSize = 2
send	data	#468,	winSize = 2
recv	ack	#466,	sack	#466
time	out,	threshold = 1,	winSize = 2
resnd	data	#467,	winSize = 1
recv	ack	#467,	sack	#467
resnd	data	#468,	winSize = 2
send	data	#469,	winSize = 2
recv	ack	#467,	sack	#467
time	out,	threshold = 1,	winSize = 2
resnd	data	#468,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#468,	winSize = 1
recv	ack	#468,	sack	#468
resnd	data	#469,	winSize = 2
send	data	#470,	winSize = 2
recv	ack	#469,	sack	#469
send	data	#471,	winSize = 2
recv	ack	#469,	sack	#469
recv	ack	#469,	sack	#471
send	data	#472,	winSize = 2
recv	ack	#469,	sack	#472
send	data	#473,	winSize = 2
resnd	data	#470,	winSize = 2
recv	ack	#469,	sack	#473
send	data	#474,	winSize = 2
recv	ack	#473,	sack	#470
send	data	#475,	winSize = 3
send	data	#476,	winSize = 3
recv	ack	#474,	sack	#474
send	data	#477,	winSize = 3
recv	ack	#475,	sack	#475
send	data	#478,	winSize = 3
recv	ack	#476,	sack	#476
send	data	#479,	winSize = 4
send	data	#480,	winSize = 4
recv	ack	#477,	sack	#477
send	data	#481,	winSize = 4
recv	ack	#477,	sack	#477
recv	ack	#477,	sack	#477
recv	ack	#477,	sack	#480
send	data	#482,	winSize = 4
recv	ack	#477,	sack	#481
send	data	#483,	winSize = 4
recv	ack	#477,	sack	#482
send	data	#484,	winSize = 4
recv	ack	#477,	sack	#483
send	data	#485,	winSize = 4
recv	ack	#477,	sack	#484
send	data	#486,	winSize = 4
recv	ack	#477,	sack	#485
send	data	#487,	winSize = 4
recv	ack	#477,	sack	#486
send	data	#488,	winSize = 4
recv	ack	#477,	sack	#487
send	data	#489,	winSize = 4
recv	ack	#477,	sack	#488
send	data	#490,	winSize = 4
recv	ack	#477,	sack	#477
recv	ack	#477,	sack	#490
send	data	#491,	winSize = 4
recv	ack	#477,	sack	#491
send	data	#492,	winSize = 4
recv	ack	#477,	sack	#477
time	out,	threshold = 1,	winSize = 4
resnd	data	#478,	winSize = 1
recv	ack	#478,	sack	#478
resnd	data	#479,	winSize = 2
resnd	data	#489,	winSize = 2
recv	ack	#488,	sack	#479
resnd	data	#492,	winSize = 2
recv	ack	#491,	sack	#489
send	data	#493,	winSize = 3
send	data	#494,	winSize = 3
recv	ack	#492,	sack	#492
send	data	#495,	winSize = 3
recv	ack	#493,	sack	#493
send	data	#496,	winSize = 3
recv	ack	#494,	sack	#494
send	data	#497,	winSize = 4
send	data	#498,	winSize = 4
recv	ack	#495,	sack	#495
send	data	#499,	winSize = 4
recv	ack	#496,	sack	#496
send	data	#500,	winSize = 4
recv	ack	#497,	sack	#497
send	data	#501,	winSize = 4
recv	ack	#498,	sack	#498
send	data	#502,	winSize = 5
send	data	#503,	winSize = 5
recv	ack	#499,	sack	#499
send	data	#504,	winSize = 5
recv	ack	#500,	sack	#500
send	data	#505,	winSize = 5
recv	ack	#500,	sack	#502
send	data	#506,	winSize = 5
recv	ack	#500,	sack	#503
send	data	#507,	winSize = 5
recv	ack	#500,	sack	#505
send	data	#508,	winSize = 5
resnd	data	#501,	winSize = 5
recv	ack	#500,	sack	#500
recv	ack	#500,	sack	#507
send	data	#509,	winSize = 5
recv	ack	#500,	sack	#508
send	data	#510,	winSize = 5
recv	ack	#500,	sack	#500
recv	ack	#500,	sack	#509
send	data	#511,	winSize = 5
recv	ack	#500,	sack	#510
send	data	#512,	winSize = 5
recv	ack	#500,	sack	#511
send	data	#513,	winSize = 5
recv	ack	#500,	sack	#512
send	data	#514,	winSize = 5
recv	ack	#500,	sack	#500
recv	ack	#500,	sack	#500
time	out,	threshold = 2,	winSize = 5
resnd	data	#501,	winSize = 1
time	out,	threshold = 2,	winSize = 1
resnd	data	#501,	winSize = 1
recv	ack	#503,	sack	#501
resnd	data	#504,	winSize = 2
resnd	data	#506,	winSize = 2
recv	ack	#505,	sack	#504
resnd	data	#513,	winSize = 2
recv	ack	#512,	sack	#506
resnd	data	#514,	winSize = 3
send	data	#515,	winSize = 3
recv	ack	#513,	sack	#513
send	data	#516,	winSize = 3
recv	ack	#514,	sack	#514
send	data	#517,	winSize = 3
recv	ack	#515,	sack	#515
send	data	#518,	winSize = 4
send	data	#519,	winSize = 4
recv	ack	#516,	sack	#516
send	data	#520,	winSize = 4
recv	ack	#517,	sack	#517
send	data	#521,	winSize = 4
recv	ack	#517,	sack	#517
recv	ack	#517,	sack	#519
send	data	#522,	winSize = 4
recv	ack	#517,	sack	#520
send	data	#523,	winSize = 4
resnd	data	#518,	winSize = 4
recv	ack	#517,	sack	#517
recv	ack	#517,	sack	#522
send	data	#524,	winSize = 4
recv	ack	#520,	sack	#518
send	data	#525,	winSize = 4
recv	ack	#520,	sack	#524
send	data	#526,	winSize = 4
recv	ack	#520,	sack	#525
send	data	#527,	winSize = 4
recv	ack	#520,	sack	#526
send	data	#528,	winSize = 4
recv	ack	#520,	sack	#527
send	data	#529,	winSize = 4
recv	ack	#520,	sack	#520
time	out,	threshold = 1,	winSize = 4
resnd	data	#521,	winSize = 1
recv	ack	#522,	sack	#521
resnd	data	#523,	winSize = 2
resnd	data	#528,	winSize = 2
recv	ack	#527,	sack	#523
resnd	data	#529,	winSize = 2
recv	ack	#528,	sack	#528
send	data	#530,	winSize = 3
send	data	#531,	winSize = 3
recv	ack	#529,	sack	#529
send	data	#532,	winSize = 3
recv	ack	#529,	sack	#529
recv	ack	#529,	sack	#532
send	data	#533,	winSize = 3
recv	ack	#529,	sack	#529
resnd	data	#530,	winSize = 3
time	out,	threshold = 2,	winSize = 3
resnd	data	#530,	winSize = 1
recv	ack	#530,	sack	#530
resnd	data	#531,	winSize = 2
resnd	data	#533,	winSize = 2
recv	ack	#532,	sack	#531
send	data	#534,	winSize = 2
recv	ack	#532,	sack	#534
send	data	#535,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#533,	winSize = 1
recv	ack	#534,	sack	#533
resnd	data	#535,	winSize = 2
send	data	#536,	winSize = 2
recv	ack	#534,	sack	#536
send	data	#537,	winSize = 2
recv	ack	#534,	sack	#537
send	data	#538,	winSize = 2
recv	ack	#534,	sack	#538
send	data	#539,	winSize = 2
resnd	data	#535,	winSize = 2
recv	ack	#534,	sack	#539
send	data	#540,	winSize = 2
recv	ack	#534,	sack	#534
recv	ack	#534,	sack	#540
send	data	#541,	winSize = 2
recv	ack	#534,	sack	#541
send	data	#542,	winSize = 2
recv	ack	#534,	sack	#542
send	data	#543,	winSize = 2
recv	ack	#534,	sack	#543
send	data	#544,	winSize = 2
recv	ack	#534,	sack	#544
send	data	#545,	winSize = 2
recv	ack	#534,	sack	#545
send	data	#546,	winSize = 2
recv	ack	#534,	sack	#546
send	data	#547,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#535,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#535,	winSize = 1
recv	ack	#546,	sack	#535
resnd	data	#547,	winSize = 2
send	data	#548,	winSize = 2
recv	ack	#547,	sack	#547
send	data	#549,	winSize = 2
recv	ack	#548,	sack	#548
send	data	#550,	winSize = 3
send	data	#551,	winSize = 3
recv	ack	#549,	sack	#549
send	data	#552,	winSize = 3
recv	ack	#550,	sack	#550
send	data	#553,	winSize = 3
recv	ack	#550,	sack	#550
recv	ack	#550,	sack	#552
send	data	#554,	winSize = 3
recv	ack	#550,	sack	#553
send	data	#555,	winSize = 3
resnd	data	#551,	winSize = 3
recv	ack	#550,	sack	#554
send	data	#556,	winSize = 3
recv	ack	#550,	sack	#550
recv	ack	#554,	sack	#551
send	data	#557,	winSize = 4
send	data	#558,	winSize = 4
recv	ack	#554,	sack	#554
recv	ack	#554,	sack	#557
send	data	#559,	winSize = 4
recv	ack	#554,	sack	#554
recv	ack	#554,	sack	#559
send	data	#560,	winSize = 4
recv	ack	#554,	sack	#560
send	data	#561,	winSize = 4
recv	ack	#554,	sack	#561
send	data	#562,	winSize = 4
recv	ack	#554,	sack	#562
send	data	#563,	winSize = 4
recv	ack	#554,	sack	#563
send	data	#564,	winSize = 4
recv	ack	#554,	sack	#564
send	data	#565,	winSize = 4
recv	ack	#554,	sack	#565
send	data	#566,	winSize = 4
recv	ack	#554,	sack	#566
send	data	#567,	winSize = 4
recv	ack	#554,	sack	#567
send	data	#568,	winSize = 4
recv	ack	#554,	sack	#568
send	data	#569,	winSize = 4
time	out,	threshold = 1,	winSize = 4
resnd	data	#555,	winSize = 1
recv	ack	#555,	sack	#555
resnd	data	#556,	winSize = 2
resnd	data	#558,	winSize = 2
recv	ack	#557,	sack	#556
resnd	data	#569,	winSize = 2
recv	ack	#568,	sack	#558
send	data	#570,	winSize = 3
send	data	#571,	winSize = 3
recv	ack	#569,	sack	#569
send	data	#572,	winSize = 3
recv	ack	#570,	sack	#570
send	data	#573,	winSize = 3
recv	ack	#570,	sack	#570
recv	ack	#570,	sack	#572
send	data	#574,	winSize = 3
recv	ack	#570,	sack	#573
send	data	#575,	winSize = 3
resnd	data	#571,	winSize = 3
recv	ack	#570,	sack	#570
recv	ack	#570,	sack	#575
send	data	#576,	winSize = 3
recv	ack	#570,	sack	#570
time	out,	threshold = 2,	winSize = 3
resnd	data	#571,	winSize = 1
recv	ack	#573,	sack	#571
resnd	data	#574,	winSize = 2
resnd	data	#576,	winSize = 2
recv	ack	#575,	sack	#574
send	data	#577,	winSize = 2
recv	ack	#576,	sack	#576
send	data	#578,	winSize = 3
send	data	#579,	winSize = 3
recv	ack	#576,	sack	#579
send	data	#580,	winSize = 3
recv	ack	#576,	sack	#580
send	data	#581,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#577,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#577,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#577,	winSize = 1
recv	ack	#577,	sack	#577
resnd	data	#578,	winSize = 2
resnd	data	#581,	winSize = 2
recv	ack	#580,	sack	#578
send	data	#582,	winSize = 2
recv	ack	#581,	sack	#581
send	data	#583,	winSize = 3
send	data	#584,	winSize = 3
recv	ack	#582,	sack	#582
send	data	#585,	winSize = 3
recv	ack	#583,	sack	#583
send	data	#586,	winSize = 3
recv	ack	#584,	sack	#584
send	data	#587,	winSize = 4
send	data	#588,	winSize = 4
recv	ack	#585,	sack	#585
send	data	#589,	winSize = 4
recv	ack	#585,	sack	#585
recv	ack	#585,	sack	#585
recv	ack	#585,	sack	#588
send	data	#590,	winSize = 4
resnd	data	#586,	winSize = 4
recv	ack	#585,	sack	#589
send	data	#591,	winSize = 4
recv	ack	#585,	sack	#590
send	data	#592,	winSize = 4
recv	ack	#586,	sack	#586
send	data	#593,	winSize = 4
recv	ack	#586,	sack	#593
send	data	#594,	winSize = 4
recv	ack	#586,	sack	#594
send	data	#595,	winSize = 4
recv	ack	#586,	sack	#595
send	data	#596,	winSize = 4
recv	ack	#586,	sack	#596
send	data	#597,	winSize = 4
recv	ack	#586,	sack	#597
send	data	#598,	winSize = 4
recv	ack	#586,	sack	#598
send	data	#599,	winSize = 4
recv	ack	#586,	sack	#586
time	out,	threshold = 1,	winSize = 4
resnd	data	#587,	winSize = 1
recv	ack	#590,	sack	#587
resnd	data	#591,	winSize = 2
resnd	data	#592,	winSize = 2
recv	ack	#591,	sack	#591
resnd	data	#599,	winSize = 2
time	out,	threshold = 2,	winSize = 2
resnd	data	#592,	winSize = 1
recv	ack	#598,	sack	#592
resnd	data	#599,	winSize = 2
send	data	#600,	winSize = 2
recv	ack	#599,	sack	#599
send	data	#601,	winSize = 2
recv	ack	#600,	sack	#600
send	data	#602,	winSize = 3
send	data	#603,	winSize = 3
recv	ack	#601,	sack	#601
send	data	#604,	winSize = 3
recv	ack	#602,	sack	#602
send	data	#605,	winSize = 3
recv	ack	#602,	sack	#602
recv	ack	#602,	sack	#604
send	data	#606,	winSize = 3
recv	ack	#602,	sack	#602
resnd	data	#603,	winSize = 3
recv	ack	#602,	sack	#602
time	out,	threshold = 1,	winSize = 3
resnd	data	#603,	winSize = 1
recv	ack	#602,	sack	#602
time	out,	threshold = 1,	winSize = 1
resnd	data	#603,	winSize = 1
recv	ack	#604,	sack	#603
resnd	data	#605,	winSize = 2
resnd	data	#606,	winSize = 2
recv	ack	#605,	sack	#605
send	data	#607,	winSize = 2
recv	ack	#606,	sack	#606
send	data	#608,	winSize = 3
send	data	#609,	winSize = 3
recv	ack	#606,	sack	#608
send	data	#610,	winSize = 3
recv	ack	#606,	sack	#609
send	data	#611,	winSize = 3
recv	ack	#606,	sack	#610
send	data	#612,	winSize = 3
resnd	data	#607,	winSize = 3
recv	ack	#606,	sack	#611
send	data	#613,	winSize = 3
recv	ack	#606,	sack	#606
recv	ack	#611,	sack	#607
send	data	#614,	winSize = 3
recv	ack	#611,	sack	#613
send	data	#615,	winSize = 3
recv	ack	#611,	sack	#614
send	data	#616,	winSize = 3
recv	ack	#611,	sack	#615
send	data	#617,	winSize = 3
recv	ack	#611,	sack	#616
send	data	#618,	winSize = 3
recv	ack	#611,	sack	#617
send	data	#619,	winSize = 3
recv	ack	#611,	sack	#618
send	data	#620,	winSize = 3
recv	ack	#611,	sack	#619
send	data	#621,	winSize = 3
recv	ack	#611,	sack	#620
send	data	#622,	winSize = 3
recv	ack	#611,	sack	#621
send	data	#623,	winSize = 3
recv	ack	#611,	sack	#622
send	data	#624,	winSize = 3
recv	ack	#611,	sack	#623
send	data	#625,	winSize = 3
recv	ack	#611,	sack	#624
send	data	#626,	winSize = 3
recv	ack	#611,	sack	#625
send	data	#627,	winSize = 3
recv	ack	#611,	sack	#611
recv	ack	#611,	sack	#627
send	data	#628,	winSize = 3
recv	ack	#611,	sack	#628
send	data	#629,	winSize = 3
